"Period","Town","num_infection","num_dead","ratio_infection","ratio_dead"
0,0,1,0,0.01,0
1,0,1,0,0.01,0
2,0,0,0,0,0
3,0,1,0,0.01,0
4,0,3,0,0.03,0
5,0,1,2,0.01,0.02
6,0,2,2,0.02,0.02
7,0,7,2,0.07,0.02
8,0,6,3,0.06,0.03
9,0,10,3,0.1,0.03
10,0,8,4,0.08,0.04
11,0,10,4,0.1,0.04
12,0,14,5,0.14,0.05
13,0,15,6,0.15,0.06
14,0,16,6,0.16,0.06
15,0,21,6,0.21,0.06
16,0,19,10,0.19,0.1
17,0,20,11,0.2,0.11
18,0,18,14,0.18,0.14
19,0,16,15,0.16,0.15
20,0,20,16,0.2,0.16
21,0,20,18,0.2,0.18
22,0,22,18,0.22,0.18
23,0,20,19,0.2,0.19
24,0,22,19,0.22,0.19
25,0,21,19,0.21,0.19
26,0,19,19,0.19,0.19
27,0,15,19,0.15,0.19
28,0,15,20,0.15,0.2
29,0,16,21,0.16,0.21
30,0,18,22,0.18,0.22
31,0,16,22,0.16,0.22
32,0,20,23,0.2,0.23
33,0,20,24,0.2,0.24
34,0,20,24,0.2,0.24
35,0,15,25,0.15,0.25
36,0,13,25,0.13,0.25
37,0,11,25,0.11,0.25
38,0,9,26,0.09,0.26
39,0,11,26,0.11,0.26
40,0,9,26,0.09,0.26
41,0,10,26,0.1,0.26
42,0,8,26,0.08,0.26
43,0,6,27,0.06,0.27
44,0,4,27,0.04,0.27
45,0,4,27,0.04,0.27
46,0,4,27,0.04,0.27
47,0,4,27,0.04,0.27
48,0,4,27,0.04,0.27
49,0,5,27,0.05,0.27
50,0,4,27,0.04,0.27
51,0,4,27,0.04,0.27
52,0,4,27,0.04,0.27
53,0,4,27,0.04,0.27
54,0,4,27,0.04,0.27
55,0,3,27,0.03,0.27
56,0,1,27,0.01,0.27
57,0,1,27,0.01,0.27
58,0,2,27,0.02,0.27
59,0,2,27,0.02,0.27
