Period,Town,num_infection,num_dead,ratio_infection,ratio_dead
0,新北市/板橋區,21,0,3.76943e-05,0.0
0,新北市/三重區,14,0,3.63327e-05,0.0
0,新北市/中和區,11,1,2.67501e-05,2.43182e-06
0,新北市/永和區,7,0,3.19104e-05,0.0
0,新北市/新莊區,7,0,1.6562e-05,0.0
0,新北市/新店區,12,0,3.95345e-05,0.0
0,新北市/樹林區,3,0,1.63514e-05,0.0
0,新北市/鶯歌區,8,1,9.12471e-05,1.14059e-05
0,新北市/三峽區,7,0,5.98715e-05,0.0
0,新北市/淡水區,10,0,5.45619e-05,0.0
0,新北市/汐止區,5,0,2.42899e-05,0.0
0,新北市/瑞芳區,2,1,5.1181e-05,2.55905e-05
0,新北市/土城區,6,2,2.51808e-05,8.39359e-06
0,新北市/蘆洲區,9,0,4.44541e-05,0.0
0,新北市/五股區,4,0,4.47077e-05,0.0
0,新北市/泰山區,0,0,0.0,0.0
0,新北市/林口區,5,0,4.12568e-05,0.0
0,新北市/深坑區,1,0,4.21532e-05,0.0
0,新北市/石碇區,0,0,0.0,0.0
0,新北市/坪林區,0,0,0.0,0.0
0,新北市/三芝區,1,0,4.43656e-05,0.0
0,新北市/石門區,0,0,0.0,0.0
0,新北市/八里區,1,0,2.51629e-05,0.0
0,新北市/平溪區,0,0,0.0,0.0
0,新北市/雙溪區,0,0,0.0,0.0
0,新北市/貢寮區,0,0,0.0,0.0
0,新北市/金山區,1,0,4.73328e-05,0.0
0,新北市/萬里區,1,0,4.60617e-05,0.0
0,新北市/烏來區,0,0,0.0,0.0
0,台北市/松山區,5,0,2.49606e-05,0.0
0,台北市/信義區,13,2,6.03977e-05,9.29195e-06
0,台北市/大安區,10,1,3.30421e-05,3.30421e-06
0,台北市/中山區,11,0,4.91343e-05,0.0
0,台北市/中正區,7,0,4.50459e-05,0.0
0,台北市/大同區,3,2,2.4223e-05,1.61487e-05
0,台北市/萬華區,11,0,6.00804e-05,0.0
0,台北市/文山區,6,1,2.23772e-05,3.72953e-06
0,台北市/南港區,9,1,7.57844e-05,8.42049e-06
0,台北市/內湖區,19,0,6.72507e-05,0.0
0,台北市/士林區,13,0,4.66868e-05,0.0
0,台北市/北投區,14,0,5.59678e-05,0.0
