Period,Town,num_infection,num_dead,ratio_infection,ratio_dead
0,新北市/板橋區,19,0,3.41043e-05,0.0
0,新北市/三重區,12,0,3.11423e-05,0.0
0,新北市/中和區,11,1,2.67501e-05,2.43182e-06
0,新北市/永和區,6,1,2.73518e-05,4.55863e-06
0,新北市/新莊區,11,0,2.60261e-05,0.0
0,新北市/新店區,11,1,3.624e-05,3.29455e-06
0,新北市/樹林區,5,0,2.72524e-05,0.0
0,新北市/鶯歌區,6,1,6.84353e-05,1.14059e-05
0,新北市/三峽區,6,0,5.13185e-05,0.0
0,新北市/淡水區,8,0,4.36495e-05,0.0
0,新北市/汐止區,4,0,1.94319e-05,0.0
0,新北市/瑞芳區,1,0,2.55905e-05,0.0
0,新北市/土城區,7,0,2.93776e-05,0.0
0,新北市/蘆洲區,6,1,2.96361e-05,4.93934e-06
0,新北市/五股區,4,0,4.47077e-05,0.0
0,新北市/泰山區,0,0,0.0,0.0
0,新北市/林口區,4,0,3.30055e-05,0.0
0,新北市/深坑區,1,0,4.21532e-05,0.0
0,新北市/石碇區,0,0,0.0,0.0
0,新北市/坪林區,0,0,0.0,0.0
0,新北市/三芝區,1,0,4.43656e-05,0.0
0,新北市/石門區,0,0,0.0,0.0
0,新北市/八里區,1,0,2.51629e-05,0.0
0,新北市/平溪區,0,0,0.0,0.0
0,新北市/雙溪區,0,0,0.0,0.0
0,新北市/貢寮區,0,0,0.0,0.0
0,新北市/金山區,1,0,4.73328e-05,0.0
0,新北市/萬里區,0,0,0.0,0.0
0,新北市/烏來區,0,0,0.0,0.0
0,台北市/松山區,3,0,1.49763e-05,0.0
0,台北市/信義區,13,0,6.03977e-05,0.0
0,台北市/大安區,8,1,2.64337e-05,3.30421e-06
0,台北市/中山區,11,1,4.91343e-05,4.46676e-06
0,台北市/中正區,5,1,3.21757e-05,6.43513e-06
0,台北市/大同區,4,1,3.22974e-05,8.07435e-06
0,台北市/萬華區,9,0,4.91567e-05,0.0
0,台北市/文山區,5,0,1.86477e-05,0.0
0,台北市/南港區,8,2,6.73639e-05,1.6841e-05
0,台北市/內湖區,17,0,6.01717e-05,0.0
0,台北市/士林區,13,2,4.66868e-05,7.18259e-06
0,台北市/北投區,13,0,5.19701e-05,0.0
0,桃園市/桃園區,32,1,6.99844e-05,2.18701e-06
0,桃園市/中壢區,19,3,4.49735e-05,7.10108e-06
0,桃園市/大溪區,3,0,3.13598e-05,0.0
0,桃園市/楊梅區,11,0,6.28062e-05,0.0
0,桃園市/蘆竹區,8,0,4.7887e-05,0.0
0,桃園市/大園區,2,0,2.13022e-05,0.0
0,桃園市/龜山區,7,0,4.25796e-05,0.0
0,桃園市/八德區,17,0,8.12612e-05,0.0
0,桃園市/龍潭區,4,0,3.21523e-05,0.0
0,桃園市/平鎮區,12,0,5.24909e-05,0.0
0,桃園市/新屋區,3,1,6.08112e-05,2.02704e-05
0,桃園市/觀音區,4,0,5.79441e-05,0.0
0,桃園市/復興區,0,0,0.0,0.0
0,台中市/中區,0,0,0.0,0.0
0,台中市/東區,1,2,1.3173e-05,2.63459e-05
0,台中市/南區,4,0,3.15535e-05,0.0
0,台中市/西區,3,0,2.61819e-05,0.0
0,台中市/北區,7,0,4.77522e-05,0.0
0,台中市/西屯區,4,0,1.72615e-05,0.0
0,台中市/南屯區,5,0,2.83991e-05,0.0
0,台中市/北屯區,5,1,1.74007e-05,3.48015e-06
0,台中市/豐原區,4,1,2.40887e-05,6.02217e-06
0,台中市/東勢區,1,0,2.0338e-05,0.0
0,台中市/大甲區,2,0,2.62709e-05,0.0
0,台中市/清水區,5,0,5.68124e-05,0.0
0,台中市/沙鹿區,2,1,2.10027e-05,1.05013e-05
0,台中市/梧棲區,5,0,8.43554e-05,0.0
0,台中市/后里區,2,0,3.68033e-05,0.0
0,台中市/神岡區,4,0,6.10417e-05,0.0
0,台中市/潭子區,5,0,4.57419e-05,0.0
0,台中市/大雅區,1,1,1.04501e-05,1.04501e-05
0,台中市/新社區,0,0,0.0,0.0
0,台中市/石岡區,1,0,6.81663e-05,0.0
0,台中市/外埔區,0,0,0.0,0.0
0,台中市/大安區,1,0,5.3011e-05,0.0
0,台中市/烏日區,2,0,2.61458e-05,0.0
0,台中市/大肚區,6,0,0.000105677,0.0
0,台中市/龍井區,4,0,5.12197e-05,0.0
0,台中市/霧峰區,3,0,4.60872e-05,0.0
0,台中市/太平區,9,2,4.61609e-05,1.0258e-05
0,台中市/大里區,11,0,5.16148e-05,0.0
0,台中市/和平區,0,0,0.0,0.0
0,台南市/新營區,4,0,5.24033e-05,0.0
0,台南市/鹽水區,1,0,3.99984e-05,0.0
0,台南市/白河區,1,0,3.6704e-05,0.0
0,台南市/柳營區,0,0,0.0,0.0
0,台南市/後壁區,0,0,0.0,0.0
