Period,Town,num_infection,num_dead,ratio_infection,ratio_dead
0,新北市/板橋區,19,0,3.41043e-05,0.0
0,新北市/三重區,13,0,3.37375e-05,0.0
0,新北市/中和區,10,3,2.43182e-05,7.29547e-06
0,新北市/永和區,9,0,4.10277e-05,0.0
0,新北市/新莊區,8,0,1.89281e-05,0.0
0,新北市/新店區,11,0,3.624e-05,0.0
0,新北市/樹林區,3,1,1.63514e-05,5.45048e-06
0,新北市/鶯歌區,10,0,0.000114059,0.0
0,新北市/三峽區,5,1,4.27654e-05,8.55308e-06
0,新北市/淡水區,9,1,4.91057e-05,5.45619e-06
0,新北市/汐止區,5,0,2.42899e-05,0.0
0,新北市/瑞芳區,2,0,5.1181e-05,0.0
0,新北市/土城區,7,0,2.93776e-05,0.0
0,新北市/蘆洲區,7,1,3.45754e-05,4.93934e-06
0,新北市/五股區,3,0,3.35308e-05,0.0
0,新北市/泰山區,0,0,0.0,0.0
0,新北市/林口區,3,0,2.47541e-05,0.0
0,新北市/深坑區,1,0,4.21532e-05,0.0
0,新北市/石碇區,0,0,0.0,0.0
0,新北市/坪林區,0,0,0.0,0.0
0,新北市/三芝區,1,0,4.43656e-05,0.0
0,新北市/石門區,0,0,0.0,0.0
0,新北市/八里區,1,0,2.51629e-05,0.0
0,新北市/平溪區,0,0,0.0,0.0
0,新北市/雙溪區,0,0,0.0,0.0
0,新北市/貢寮區,0,0,0.0,0.0
0,新北市/金山區,1,0,4.73328e-05,0.0
0,新北市/萬里區,1,0,4.60617e-05,0.0
0,新北市/烏來區,0,0,0.0,0.0
0,台北市/松山區,6,0,2.99527e-05,0.0
0,台北市/信義區,14,0,6.50437e-05,0.0
0,台北市/大安區,12,1,3.96505e-05,3.30421e-06
0,台北市/中山區,10,0,4.46676e-05,0.0
0,台北市/中正區,7,0,4.50459e-05,0.0
0,台北市/大同區,6,0,4.84461e-05,0.0
0,台北市/萬華區,10,0,5.46185e-05,0.0
0,台北市/文山區,5,1,1.86477e-05,3.72953e-06
0,台北市/南港區,11,0,9.26253e-05,0.0
0,台北市/內湖區,17,0,6.01717e-05,0.0
0,台北市/士林區,9,2,3.23217e-05,7.18259e-06
0,台北市/北投區,13,0,5.19701e-05,0.0
0,桃園市/桃園區,24,2,5.24883e-05,4.37402e-06
0,桃園市/中壢區,25,0,5.91757e-05,0.0
0,桃園市/大溪區,3,0,3.13598e-05,0.0
0,桃園市/楊梅區,11,1,6.28062e-05,5.70965e-06
0,桃園市/蘆竹區,7,1,4.19011e-05,5.98587e-06
0,桃園市/大園區,4,0,4.26044e-05,0.0
0,桃園市/龜山區,7,0,4.25796e-05,0.0
0,桃園市/八德區,16,1,7.64811e-05,4.78007e-06
0,桃園市/龍潭區,4,0,3.21523e-05,0.0
0,桃園市/平鎮區,12,0,5.24909e-05,0.0
0,桃園市/新屋區,4,0,8.10816e-05,0.0
0,桃園市/觀音區,3,1,4.34581e-05,1.4486e-05
0,桃園市/復興區,0,0,0.0,0.0
0,台中市/中區,0,0,0.0,0.0
0,台中市/東區,4,0,5.26919e-05,0.0
0,台中市/南區,4,0,3.15535e-05,0.0
0,台中市/西區,2,0,1.74546e-05,0.0
0,台中市/北區,7,0,4.77522e-05,0.0
0,台中市/西屯區,5,0,2.15768e-05,0.0
0,台中市/南屯區,6,0,3.40789e-05,0.0
0,台中市/北屯區,9,1,3.13213e-05,3.48015e-06
0,台中市/豐原區,5,0,3.01109e-05,0.0
0,台中市/東勢區,0,0,0.0,0.0
0,台中市/大甲區,2,0,2.62709e-05,0.0
0,台中市/清水區,2,0,2.27249e-05,0.0
0,台中市/沙鹿區,4,0,4.20053e-05,0.0
0,台中市/梧棲區,5,0,8.43554e-05,0.0
0,台中市/后里區,2,0,3.68033e-05,0.0
0,台中市/神岡區,4,0,6.10417e-05,0.0
0,台中市/潭子區,5,0,4.57419e-05,0.0
0,台中市/大雅區,1,0,1.04501e-05,0.0
0,台中市/新社區,0,0,0.0,0.0
0,台中市/石岡區,1,0,6.81663e-05,0.0
0,台中市/外埔區,0,0,0.0,0.0
0,台中市/大安區,0,1,0.0,5.3011e-05
0,台中市/烏日區,1,0,1.30729e-05,0.0
0,台中市/大肚區,4,1,7.04511e-05,1.76128e-05
0,台中市/龍井區,4,0,5.12197e-05,0.0
0,台中市/霧峰區,2,0,3.07248e-05,0.0
0,台中市/太平區,8,1,4.1032e-05,5.12899e-06
0,台中市/大里區,10,0,4.69226e-05,0.0
0,台中市/和平區,0,0,0.0,0.0
0,台南市/新營區,4,0,5.24033e-05,0.0
0,台南市/鹽水區,0,0,0.0,0.0
0,台南市/白河區,0,1,0.0,3.6704e-05
0,台南市/柳營區,0,0,0.0,0.0
0,台南市/後壁區,0,0,0.0,0.0
0,台南市/東山區,2,0,9.92457e-05,0.0
0,台南市/麻豆區,1,0,2.28765e-05,0.0
0,台南市/下營區,0,1,0.0,4.26403e-05
0,台南市/六甲區,1,0,4.6151e-05,0.0
0,台南市/官田區,0,0,0.0,0.0
0,台南市/大內區,1,0,0.000108696,0.0
0,台南市/佳里區,3,0,5.10334e-05,0.0
0,台南市/學甲區,1,0,3.95366e-05,0.0
0,台南市/西港區,1,0,4.07797e-05,0.0
0,台南市/七股區,0,0,0.0,0.0
0,台南市/將軍區,0,0,0.0,0.0
0,台南市/北門區,1,0,9.43307e-05,0.0
0,台南市/新化區,2,0,4.61712e-05,0.0
0,台南市/善化區,1,0,1.96796e-05,0.0
0,台南市/新市區,0,0,0.0,0.0
0,台南市/安定區,1,0,3.29229e-05,0.0
0,台南市/山上區,0,0,0.0,0.0
0,台南市/玉井區,1,0,7.35186e-05,0.0
0,台南市/楠西區,0,0,0.0,0.0
0,台南市/南化區,0,0,0.0,0.0
0,台南市/左鎮區,0,0,0.0,0.0
0,台南市/仁德區,2,0,2.61832e-05,0.0
0,台南市/歸仁區,0,0,0.0,0.0
0,台南市/關廟區,0,0,0.0,0.0
0,台南市/龍崎區,0,0,0.0,0.0
0,台南市/永康區,6,0,2.54869e-05,0.0
0,台南市/東區,0,0,0.0,0.0
0,台南市/南區,0,0,0.0,0.0
0,台南市/北區,3,0,2.30602e-05,0.0
0,台南市/安南區,7,0,3.57831e-05,0.0
0,台南市/安平區,3,0,4.46342e-05,0.0
0,台南市/中西區,1,0,1.27298e-05,0.0
0,高雄市/鹽埕區,0,0,0.0,0.0
0,高雄市/鼓山區,5,0,3.53387e-05,0.0
0,高雄市/左營區,7,0,3.54779e-05,0.0
0,高雄市/楠梓區,7,1,3.69537e-05,5.27911e-06
0,高雄市/三民區,17,1,5.04649e-05,2.96852e-06
0,高雄市/新興區,2,1,3.96118e-05,1.98059e-05
0,高雄市/前金區,2,0,7.49963e-05,0.0
0,高雄市/苓雅區,8,0,4.7824e-05,0.0
0,高雄市/前鎮區,12,0,6.45758e-05,0.0
0,高雄市/旗津區,2,0,7.19813e-05,0.0
0,高雄市/小港區,4,0,2.54201e-05,0.0
0,高雄市/鳳山區,13,0,3.61537e-05,0.0
0,高雄市/林園區,4,0,5.75722e-05,0.0
0,高雄市/大寮區,4,0,3.563e-05,0.0
0,高雄市/大樹區,2,0,4.78881e-05,0.0
0,高雄市/大社區,0,2,0.0,5.82683e-05
0,高雄市/仁武區,2,0,2.17644e-05,0.0
0,高雄市/鳥松區,2,0,4.45058e-05,0.0
0,高雄市/岡山區,1,0,1.03262e-05,0.0
0,高雄市/橋頭區,2,1,5.13413e-05,2.56706e-05
0,高雄市/燕巢區,2,0,6.78127e-05,0.0
0,高雄市/田寮區,0,0,0.0,0.0
0,高雄市/阿蓮區,1,0,3.5297e-05,0.0
0,高雄市/路竹區,1,0,1.93326e-05,0.0
0,高雄市/湖內區,2,0,6.69299e-05,0.0
0,高雄市/茄萣區,1,0,3.33778e-05,0.0
0,高雄市/永安區,0,0,0.0,0.0
0,高雄市/彌陀區,0,0,0.0,0.0
0,高雄市/梓官區,1,0,2.81555e-05,0.0
0,高雄市/旗山區,0,0,0.0,0.0
0,高雄市/美濃區,3,0,7.76981e-05,0.0
0,高雄市/六龜區,0,0,0.0,0.0
0,高雄市/甲仙區,1,0,0.000170155,0.0
0,高雄市/杉林區,1,0,8.66476e-05,0.0
0,高雄市/內門區,0,0,0.0,0.0
0,高雄市/茂林區,0,0,0.0,0.0
0,高雄市/桃源區,0,0,0.0,0.0
0,高雄市/那瑪夏區,0,0,0.0,0.0
0,宜蘭縣/宜蘭市,5,0,5.24136e-05,0.0
0,宜蘭縣/羅東鎮,2,0,2.79783e-05,0.0
0,宜蘭縣/蘇澳鎮,1,0,2.57308e-05,0.0
0,宜蘭縣/頭城鎮,0,0,0.0,0.0
0,宜蘭縣/礁溪鄉,0,0,0.0,0.0
0,宜蘭縣/壯圍鄉,0,0,0.0,0.0
0,宜蘭縣/員山鄉,0,0,0.0,0.0
0,宜蘭縣/冬山鄉,2,1,3.77188e-05,1.88594e-05
0,宜蘭縣/五結鄉,0,0,0.0,0.0
0,宜蘭縣/三星鄉,0,0,0.0,0.0
0,宜蘭縣/大同鄉,1,0,0.000162946,0.0
0,宜蘭縣/南澳鄉,0,0,0.0,0.0
0,新竹縣/竹北市,4,0,1.99221e-05,0.0
0,新竹縣/關西鎮,0,0,0.0,0.0
