Period,Town,num_infection,num_dead,ratio_infection,ratio_dead
0,新北市/板橋區,16,3,2.87194e-05,5.38489e-06
0,新北市/三重區,10,2,2.59519e-05,5.19038e-06
0,新北市/中和區,13,1,3.16137e-05,2.43182e-06
0,新北市/永和區,8,1,3.64691e-05,4.55863e-06
0,新北市/新莊區,11,0,2.60261e-05,0.0
0,新北市/新店區,11,0,3.624e-05,0.0
0,新北市/樹林區,3,0,1.63514e-05,0.0
0,新北市/鶯歌區,7,2,7.98412e-05,2.28118e-05
0,新北市/三峽區,6,0,5.13185e-05,0.0
0,新北市/淡水區,8,1,4.36495e-05,5.45619e-06
0,新北市/汐止區,4,1,1.94319e-05,4.85798e-06
0,新北市/瑞芳區,2,0,5.1181e-05,0.0
0,新北市/土城區,8,0,3.35744e-05,0.0
0,新北市/蘆洲區,8,1,3.95148e-05,4.93934e-06
0,新北市/五股區,4,0,4.47077e-05,0.0
0,新北市/泰山區,0,0,0.0,0.0
0,新北市/林口區,5,0,4.12568e-05,0.0
0,新北市/深坑區,1,0,4.21532e-05,0.0
0,新北市/石碇區,0,0,0.0,0.0
0,新北市/坪林區,0,0,0.0,0.0
0,新北市/三芝區,1,0,4.43656e-05,0.0
0,新北市/石門區,0,0,0.0,0.0
0,新北市/八里區,0,0,0.0,0.0
0,新北市/平溪區,0,0,0.0,0.0
0,新北市/雙溪區,0,0,0.0,0.0
0,新北市/貢寮區,0,0,0.0,0.0
0,新北市/金山區,1,0,4.73328e-05,0.0
0,新北市/萬里區,1,0,4.60617e-05,0.0
0,新北市/烏來區,0,0,0.0,0.0
0,台北市/松山區,5,0,2.49606e-05,0.0
0,台北市/信義區,13,1,6.03977e-05,4.64598e-06
0,台北市/大安區,12,0,3.96505e-05,0.0
0,台北市/中山區,8,1,3.57341e-05,4.46676e-06
0,台北市/中正區,7,0,4.50459e-05,0.0
0,台北市/大同區,5,0,4.03717e-05,0.0
0,台北市/萬華區,12,0,6.55423e-05,0.0
0,台北市/文山區,6,0,2.23772e-05,0.0
0,台北市/南港區,9,0,7.57844e-05,0.0
0,台北市/內湖區,16,1,5.66322e-05,3.53951e-06
0,台北市/士林區,11,1,3.95043e-05,3.5913e-06
0,台北市/北投區,14,0,5.59678e-05,0.0
0,桃園市/桃園區,29,1,6.34233e-05,2.18701e-06
0,桃園市/中壢區,24,2,5.68086e-05,4.73405e-06
0,桃園市/大溪區,3,0,3.13598e-05,0.0
0,桃園市/楊梅區,9,1,5.13869e-05,5.70965e-06
0,桃園市/蘆竹區,8,0,4.7887e-05,0.0
0,桃園市/大園區,3,0,3.19533e-05,0.0
0,桃園市/龜山區,8,0,4.86624e-05,0.0
0,桃園市/八德區,12,1,5.73608e-05,4.78007e-06
0,桃園市/龍潭區,3,0,2.41142e-05,0.0
0,桃園市/平鎮區,11,2,4.81167e-05,8.74849e-06
0,桃園市/新屋區,3,0,6.08112e-05,0.0
0,桃園市/觀音區,4,0,5.79441e-05,0.0
0,桃園市/復興區,0,0,0.0,0.0
0,台中市/中區,0,0,0.0,0.0
0,台中市/東區,4,0,5.26919e-05,0.0
0,台中市/南區,3,0,2.36651e-05,0.0
0,台中市/西區,3,0,2.61819e-05,0.0
0,台中市/北區,7,0,4.77522e-05,0.0
0,台中市/西屯區,3,1,1.29461e-05,4.31537e-06
0,台中市/南屯區,5,1,2.83991e-05,5.67982e-06
0,台中市/北屯區,9,0,3.13213e-05,0.0
0,台中市/豐原區,4,1,2.40887e-05,6.02217e-06
0,台中市/東勢區,1,0,2.0338e-05,0.0
0,台中市/大甲區,0,1,0.0,1.31354e-05
0,台中市/清水區,3,0,3.40874e-05,0.0
0,台中市/沙鹿區,3,0,3.1504e-05,0.0
0,台中市/梧棲區,6,0,0.000101227,0.0
0,台中市/后里區,3,0,5.52049e-05,0.0
0,台中市/神岡區,3,0,4.57813e-05,0.0
0,台中市/潭子區,4,0,3.65935e-05,0.0
0,台中市/大雅區,2,0,2.09002e-05,0.0
0,台中市/新社區,0,0,0.0,0.0
0,台中市/石岡區,0,0,0.0,0.0
0,台中市/外埔區,0,0,0.0,0.0
0,台中市/大安區,1,0,5.3011e-05,0.0
0,台中市/烏日區,2,0,2.61458e-05,0.0
0,台中市/大肚區,5,1,8.80638e-05,1.76128e-05
0,台中市/龍井區,5,0,6.40246e-05,0.0
0,台中市/霧峰區,2,0,3.07248e-05,0.0
0,台中市/太平區,8,3,4.1032e-05,1.5387e-05
0,台中市/大里區,10,0,4.69226e-05,0.0
0,台中市/和平區,0,0,0.0,0.0
0,台南市/新營區,3,1,3.93025e-05,1.31008e-05
0,台南市/鹽水區,0,0,0.0,0.0
0,台南市/白河區,1,0,3.6704e-05,0.0
0,台南市/柳營區,0,0,0.0,0.0
0,台南市/後壁區,0,0,0.0,0.0
0,台南市/東山區,2,0,9.92457e-05,0.0
0,台南市/麻豆區,0,0,0.0,0.0
0,台南市/下營區,1,0,4.26403e-05,0.0
0,台南市/六甲區,1,0,4.6151e-05,0.0
0,台南市/官田區,0,0,0.0,0.0
0,台南市/大內區,1,0,0.000108696,0.0
0,台南市/佳里區,3,0,5.10334e-05,0.0
0,台南市/學甲區,1,0,3.95366e-05,0.0
0,台南市/西港區,1,0,4.07797e-05,0.0
0,台南市/七股區,0,0,0.0,0.0
0,台南市/將軍區,0,0,0.0,0.0
0,台南市/北門區,1,0,9.43307e-05,0.0
0,台南市/新化區,1,0,2.30856e-05,0.0
0,台南市/善化區,1,0,1.96796e-05,0.0
0,台南市/新市區,0,0,0.0,0.0
0,台南市/安定區,1,0,3.29229e-05,0.0
0,台南市/山上區,0,0,0.0,0.0
0,台南市/玉井區,1,0,7.35186e-05,0.0
0,台南市/楠西區,0,0,0.0,0.0
0,台南市/南化區,0,0,0.0,0.0
0,台南市/左鎮區,0,0,0.0,0.0
0,台南市/仁德區,2,0,2.61832e-05,0.0
0,台南市/歸仁區,1,0,1.46705e-05,0.0
0,台南市/關廟區,0,0,0.0,0.0
0,台南市/龍崎區,0,0,0.0,0.0
0,台南市/永康區,5,0,2.12391e-05,0.0
0,台南市/東區,0,0,0.0,0.0
0,台南市/南區,2,0,1.61565e-05,0.0
0,台南市/北區,2,0,1.53735e-05,0.0
0,台南市/安南區,7,0,3.57831e-05,0.0
0,台南市/安平區,2,0,2.97561e-05,0.0
0,台南市/中西區,2,0,2.54595e-05,0.0
0,高雄市/鹽埕區,0,0,0.0,0.0
0,高雄市/鼓山區,5,1,3.53387e-05,7.06774e-06
0,高雄市/左營區,8,1,4.05462e-05,5.06827e-06
0,高雄市/楠梓區,8,0,4.22329e-05,0.0
0,高雄市/三民區,18,1,5.34334e-05,2.96852e-06
0,高雄市/新興區,2,0,3.96118e-05,0.0
0,高雄市/前金區,1,0,3.74981e-05,0.0
0,高雄市/苓雅區,6,2,3.5868e-05,1.1956e-05
0,高雄市/前鎮區,13,0,6.99572e-05,0.0
0,高雄市/旗津區,2,0,7.19813e-05,0.0
0,高雄市/小港區,6,0,3.81301e-05,0.0
0,高雄市/鳳山區,10,0,2.78105e-05,0.0
0,高雄市/林園區,4,1,5.75722e-05,1.4393e-05
0,高雄市/大寮區,4,0,3.563e-05,0.0
0,高雄市/大樹區,1,0,2.39441e-05,0.0
0,高雄市/大社區,2,0,5.82683e-05,0.0
0,高雄市/仁武區,1,1,1.08822e-05,1.08822e-05
0,高雄市/鳥松區,1,1,2.22529e-05,2.22529e-05
0,高雄市/岡山區,1,0,1.03262e-05,0.0
0,高雄市/橋頭區,3,0,7.70119e-05,0.0
0,高雄市/燕巢區,2,0,6.78127e-05,0.0
0,高雄市/田寮區,0,0,0.0,0.0
0,高雄市/阿蓮區,2,0,7.0594e-05,0.0
0,高雄市/路竹區,1,0,1.93326e-05,0.0
0,高雄市/湖內區,1,0,3.3465e-05,0.0
0,高雄市/茄萣區,1,0,3.33778e-05,0.0
0,高雄市/永安區,1,0,7.29661e-05,0.0
0,高雄市/彌陀區,0,0,0.0,0.0
0,高雄市/梓官區,1,0,2.81555e-05,0.0
0,高雄市/旗山區,0,0,0.0,0.0
0,高雄市/美濃區,1,0,2.58994e-05,0.0
0,高雄市/六龜區,0,0,0.0,0.0
0,高雄市/甲仙區,0,0,0.0,0.0
0,高雄市/杉林區,1,0,8.66476e-05,0.0
0,高雄市/內門區,0,0,0.0,0.0
0,高雄市/茂林區,0,0,0.0,0.0
0,高雄市/桃源區,0,0,0.0,0.0
0,高雄市/那瑪夏區,0,0,0.0,0.0
0,宜蘭縣/宜蘭市,5,0,5.24136e-05,0.0
0,宜蘭縣/羅東鎮,2,0,2.79783e-05,0.0
0,宜蘭縣/蘇澳鎮,1,0,2.57308e-05,0.0
0,宜蘭縣/頭城鎮,0,0,0.0,0.0
0,宜蘭縣/礁溪鄉,0,0,0.0,0.0
0,宜蘭縣/壯圍鄉,0,0,0.0,0.0
0,宜蘭縣/員山鄉,1,0,3.10001e-05,0.0
0,宜蘭縣/冬山鄉,3,0,5.65782e-05,0.0
0,宜蘭縣/五結鄉,0,0,0.0,0.0
0,宜蘭縣/三星鄉,0,0,0.0,0.0
0,宜蘭縣/大同鄉,1,0,0.000162946,0.0
0,宜蘭縣/南澳鄉,1,0,0.000167954,0.0
0,新竹縣/竹北市,3,0,1.49416e-05,0.0
0,新竹縣/關西鎮,0,0,0.0,0.0
0,新竹縣/新埔鎮,1,0,3.02783e-05,0.0
0,新竹縣/竹東鎮,6,0,6.1792e-05,0.0
0,新竹縣/湖口鄉,1,0,1.26629e-05,0.0
0,新竹縣/橫山鄉,0,0,0.0,0.0
0,新竹縣/新豐鄉,0,0,0.0,0.0
0,新竹縣/芎林鄉,1,0,5.03221e-05,0.0
0,新竹縣/寶山鄉,0,0,0.0,0.0
0,新竹縣/北埔鄉,0,0,0.0,0.0
0,新竹縣/峨眉鄉,0,0,0.0,0.0
0,新竹縣/尖石鄉,0,0,0.0,0.0
0,新竹縣/五峰鄉,0,0,0.0,0.0
0,苗栗縣/苗栗市,2,0,2.28126e-05,0.0
0,苗栗縣/頭份市,1,0,9.57478e-06,0.0
0,苗栗縣/苑裡鎮,0,0,0.0,0.0
0,苗栗縣/通霄鎮,0,0,0.0,0.0
0,苗栗縣/竹南鎮,8,0,9.17536e-05,0.0
0,苗栗縣/後龍鎮,2,0,5.67843e-05,0.0
0,苗栗縣/卓蘭鎮,3,0,0.000185231,0.0
0,苗栗縣/大湖鄉,0,0,0.0,0.0
0,苗栗縣/公館鄉,0,0,0.0,0.0
0,苗栗縣/銅鑼鄉,0,0,0.0,0.0
0,苗栗縣/南庄鄉,0,0,0.0,0.0
0,苗栗縣/頭屋鄉,0,0,0.0,0.0
0,苗栗縣/三義鄉,0,0,0.0,0.0
0,苗栗縣/西湖鄉,0,0,0.0,0.0
0,苗栗縣/造橋鄉,1,0,8.2122e-05,0.0
0,苗栗縣/三灣鄉,2,0,0.000314268,0.0
0,苗栗縣/獅潭鄉,0,0,0.0,0.0
0,苗栗縣/泰安鄉,0,0,0.0,0.0
0,彰化縣/彰化市,16,1,6.91691e-05,4.32307e-06
0,彰化縣/員林市,3,1,2.41423e-05,8.04745e-06
0,彰化縣/鹿港鎮,4,1,4.62161e-05,1.1554e-05
0,彰化縣/和美鎮,8,0,8.87952e-05,0.0
0,彰化縣/北斗鎮,3,0,8.99334e-05,0.0
0,彰化縣/溪湖鎮,0,0,0.0,0.0
0,彰化縣/田中鎮,1,0,2.45598e-05,0.0
0,彰化縣/二林鎮,5,0,0.00010063,0.0
0,彰化縣/線西鄉,1,0,6.0006e-05,0.0
0,彰化縣/伸港鄉,3,0,7.94913e-05,0.0
0,彰化縣/福興鄉,1,0,2.15522e-05,0.0
0,彰化縣/秀水鄉,5,0,0.000128627,0.0
0,彰化縣/花壇鄉,1,0,2.21082e-05,0.0
0,彰化縣/芬園鄉,0,0,0.0,0.0
0,彰化縣/大村鄉,1,1,2.60031e-05,2.60031e-05
0,彰化縣/埔鹽鄉,1,0,3.13293e-05,0.0
0,彰化縣/埔心鄉,2,0,5.80535e-05,0.0
0,彰化縣/永靖鄉,2,0,5.50964e-05,0.0
0,彰化縣/社頭鄉,1,0,2.35649e-05,0.0
0,彰化縣/二水鄉,0,0,0.0,0.0
0,彰化縣/田尾鄉,0,0,0.0,0.0
0,彰化縣/埤頭鄉,2,0,6.6507e-05,0.0
0,彰化縣/芳苑鄉,0,0,0.0,0.0
0,彰化縣/大城鄉,1,0,6.20386e-05,0.0
0,彰化縣/竹塘鄉,1,0,6.75311e-05,0.0
0,彰化縣/溪州鄉,1,0,3.42959e-05,0.0
0,南投縣/南投市,3,0,3.02783e-05,0.0
0,南投縣/埔里鎮,2,0,2.52554e-05,0.0
0,南投縣/草屯鎮,3,0,3.07727e-05,0.0
0,南投縣/竹山鎮,0,0,0.0,0.0
0,南投縣/集集鎮,0,0,0.0,0.0
0,南投縣/名間鄉,0,0,0.0,0.0
0,南投縣/鹿谷鄉,1,0,5.80349e-05,0.0
0,南投縣/中寮鄉,0,0,0.0,0.0
0,南投縣/魚池鄉,0,0,0.0,0.0
0,南投縣/國姓鄉,1,0,5.56638e-05,0.0
0,南投縣/水里鄉,0,0,0.0,0.0
0,南投縣/信義鄉,0,0,0.0,0.0
0,南投縣/仁愛鄉,1,0,6.32191e-05,0.0
0,雲林縣/斗六市,5,0,4.60079e-05,0.0
0,雲林縣/斗南鎮,1,0,2.2648e-05,0.0
0,雲林縣/虎尾鎮,1,0,1.41046e-05,0.0
0,雲林縣/西螺鎮,1,0,2.19959e-05,0.0
0,雲林縣/土庫鎮,0,0,0.0,0.0
0,雲林縣/北港鎮,0,0,0.0,0.0
0,雲林縣/古坑鄉,0,0,0.0,0.0
0,雲林縣/大埤鄉,2,0,0.000107504,0.0
0,雲林縣/莿桐鄉,2,0,7.06439e-05,0.0
0,雲林縣/林內鄉,1,0,5.73592e-05,0.0
0,雲林縣/二崙鄉,0,0,0.0,0.0
0,雲林縣/崙背鄉,0,0,0.0,0.0
0,雲林縣/麥寮鄉,0,0,0.0,0.0
0,雲林縣/東勢鄉,1,0,7.06464e-05,0.0
0,雲林縣/褒忠鄉,2,0,0.000160295,0.0
0,雲林縣/臺西鄉,0,0,0.0,0.0
0,雲林縣/元長鄉,0,0,0.0,0.0
0,雲林縣/四湖鄉,1,0,4.46688e-05,0.0
0,雲林縣/口湖鄉,0,0,0.0,0.0
0,雲林縣/水林鄉,0,0,0.0,0.0
0,嘉義縣/太保市,2,0,5.18995e-05,0.0
0,嘉義縣/朴子市,0,0,0.0,0.0
0,嘉義縣/布袋鎮,2,0,7.69527e-05,0.0
0,嘉義縣/大林鎮,0,0,0.0,0.0
0,嘉義縣/民雄鄉,1,0,1.40219e-05,0.0
0,嘉義縣/溪口鄉,0,0,0.0,0.0
0,嘉義縣/新港鄉,2,0,6.41807e-05,0.0
0,嘉義縣/六腳鄉,0,0,0.0,0.0
0,嘉義縣/東石鄉,1,0,4.20769e-05,0.0
0,嘉義縣/義竹鄉,0,0,0.0,0.0
0,嘉義縣/鹿草鄉,0,0,0.0,0.0
0,嘉義縣/水上鄉,3,0,6.12095e-05,0.0
0,嘉義縣/中埔鄉,4,0,9.06392e-05,0.0
0,嘉義縣/竹崎鄉,0,0,0.0,0.0
0,嘉義縣/梅山鄉,1,0,5.35131e-05,0.0
0,嘉義縣/番路鄉,0,0,0.0,0.0
0,嘉義縣/大埔鄉,0,0,0.0,0.0
0,嘉義縣/阿里山鄉,0,0,0.0,0.0
0,屏東縣/屏東市,4,2,2.02381e-05,1.01191e-05
0,屏東縣/潮州鎮,4,0,7.42914e-05,0.0
0,屏東縣/東港鎮,4,0,8.55963e-05,0.0
0,屏東縣/恆春鎮,1,0,3.28796e-05,0.0
0,屏東縣/萬丹鄉,1,0,1.99497e-05,0.0
0,屏東縣/長治鄉,2,0,6.78656e-05,0.0
0,屏東縣/麟洛鄉,0,0,0.0,0.0
0,屏東縣/九如鄉,2,0,9.10664e-05,0.0
0,屏東縣/里港鄉,2,1,7.77998e-05,3.88999e-05
0,屏東縣/鹽埔鄉,2,0,8.00032e-05,0.0
0,屏東縣/高樹鄉,1,0,4.2061e-05,0.0
0,屏東縣/萬巒鄉,0,0,0.0,0.0
0,屏東縣/內埔鄉,2,0,3.75023e-05,0.0
0,屏東縣/竹田鄉,0,0,0.0,0.0
0,屏東縣/新埤鄉,0,0,0.0,0.0
0,屏東縣/枋寮鄉,0,1,0.0,4.22297e-05
0,屏東縣/新園鄉,0,0,0.0,0.0
0,屏東縣/崁頂鄉,0,0,0.0,0.0
0,屏東縣/林邊鄉,0,0,0.0,0.0
0,屏東縣/南州鄉,1,1,9.64878e-05,9.64878e-05
0,屏東縣/佳冬鄉,0,0,0.0,0.0
0,屏東縣/琉球鄉,0,0,0.0,0.0
0,屏東縣/車城鄉,2,0,0.000241604,0.0
0,屏東縣/滿州鄉,0,0,0.0,0.0
0,屏東縣/枋山鄉,0,0,0.0,0.0
0,屏東縣/三地門鄉,0,0,0.0,0.0
0,屏東縣/霧臺鄉,0,0,0.0,0.0
0,屏東縣/瑪家鄉,0,0,0.0,0.0
0,屏東縣/泰武鄉,0,0,0.0,0.0
0,屏東縣/來義鄉,0,0,0.0,0.0
0,屏東縣/春日鄉,0,0,0.0,0.0
0,屏東縣/獅子鄉,0,0,0.0,0.0
0,屏東縣/牡丹鄉,0,0,0.0,0.0
0,台東縣/臺東市,5,0,4.77086e-05,0.0
0,台東縣/成功鎮,0,0,0.0,0.0
0,台東縣/關山鎮,0,0,0.0,0.0
0,台東縣/卑南鄉,0,0,0.0,0.0
0,台東縣/大武鄉,0,0,0.0,0.0
0,台東縣/太麻里鄉,1,0,9.15332e-05,0.0
0,台東縣/東河鄉,0,0,0.0,0.0
0,台東縣/長濱鄉,0,0,0.0,0.0
0,台東縣/鹿野鄉,0,0,0.0,0.0
0,台東縣/池上鄉,0,0,0.0,0.0
0,台東縣/綠島鄉,0,0,0.0,0.0
0,台東縣/延平鄉,0,0,0.0,0.0
0,台東縣/海端鄉,0,0,0.0,0.0
0,台東縣/達仁鄉,0,0,0.0,0.0
0,台東縣/金峰鄉,1,0,0.000270343,0.0
0,台東縣/蘭嶼鄉,0,0,0.0,0.0
0,花蓮縣/花蓮市,4,0,3.90095e-05,0.0
0,花蓮縣/鳳林鎮,0,0,0.0,0.0
0,花蓮縣/玉里鎮,2,0,8.55395e-05,0.0
0,花蓮縣/新城鄉,1,0,4.98554e-05,0.0
0,花蓮縣/吉安鄉,2,0,2.39501e-05,0.0
0,花蓮縣/壽豐鄉,0,0,0.0,0.0
0,花蓮縣/光復鄉,0,0,0.0,0.0
0,花蓮縣/豐濱鄉,0,0,0.0,0.0
0,花蓮縣/瑞穗鄉,0,0,0.0,0.0
0,花蓮縣/富里鄉,0,0,0.0,0.0
0,花蓮縣/秀林鄉,1,0,6.19464e-05,0.0
0,花蓮縣/萬榮鄉,2,0,0.000320667,0.0
0,花蓮縣/卓溪鄉,0,0,0.0,0.0
0,澎湖縣/馬公市,2,0,3.16426e-05,0.0
0,澎湖縣/湖西鄉,0,0,0.0,0.0
0,澎湖縣/白沙鄉,2,0,0.000201877,0.0
0,澎湖縣/西嶼鄉,0,0,0.0,0.0
0,澎湖縣/望安鄉,0,0,0.0,0.0
0,澎湖縣/七美鄉,1,0,0.0002574,0.0
0,基隆市/中正區,3,0,5.85663e-05,0.0
0,基隆市/七堵區,0,1,0.0,1.86515e-05
0,基隆市/暖暖區,2,0,5.18834e-05,0.0
0,基隆市/仁愛區,1,0,2.33716e-05,0.0
0,基隆市/中山區,0,1,0.0,2.15244e-05
0,基隆市/安樂區,0,0,0.0,0.0
0,基隆市/信義區,1,0,1.88083e-05,0.0
0,新竹市/東區,13,0,5.90759e-05,0.0
0,新竹市/北區,9,0,5.89731e-05,0.0
0,新竹市/香山區,7,0,8.88957e-05,0.0
0,嘉義市/東區,4,0,3.34127e-05,0.0
0,嘉義市/西區,4,0,2.73429e-05,0.0
0,金門縣/金城鎮,1,0,2.32558e-05,0.0
0,金門縣/金湖鎮,2,0,6.57895e-05,0.0
0,金門縣/金沙鎮,0,0,0.0,0.0
0,金門縣/金寧鄉,0,0,0.0,0.0
0,金門縣/烈嶼鄉,0,0,0.0,0.0
0,金門縣/烏坵鄉,0,0,0.0,0.0
0,連江縣/南竿鄉,0,0,0.0,0.0
0,連江縣/北竿鄉,0,0,0.0,0.0
0,連江縣/莒光鄉,0,0,0.0,0.0
0,連江縣/東引鄉,0,0,0.0,0.0
1,新北市/板橋區,18,4,3.23094e-05,7.17986e-06
1,新北市/三重區,11,3,2.85471e-05,7.78557e-06
1,新北市/中和區,15,2,3.64774e-05,4.86365e-06
1,新北市/永和區,6,1,2.73518e-05,4.55863e-06
1,新北市/新莊區,8,2,1.89281e-05,4.73201e-06
1,新北市/新店區,10,0,3.29455e-05,0.0
1,新北市/樹林區,1,0,5.45048e-06,0.0
1,新北市/鶯歌區,8,2,9.12471e-05,2.28118e-05
1,新北市/三峽區,5,1,4.27654e-05,8.55308e-06
1,新北市/淡水區,5,1,2.7281e-05,5.45619e-06
1,新北市/汐止區,4,1,1.94319e-05,4.85798e-06
1,新北市/瑞芳區,2,0,5.1181e-05,0.0
1,新北市/土城區,8,0,3.35744e-05,0.0
1,新北市/蘆洲區,8,1,3.95148e-05,4.93934e-06
1,新北市/五股區,4,0,4.47077e-05,0.0
1,新北市/泰山區,0,0,0.0,0.0
1,新北市/林口區,4,0,3.30055e-05,0.0
1,新北市/深坑區,1,0,4.21532e-05,0.0
1,新北市/石碇區,0,0,0.0,0.0
1,新北市/坪林區,0,0,0.0,0.0
1,新北市/三芝區,1,0,4.43656e-05,0.0
1,新北市/石門區,0,0,0.0,0.0
1,新北市/八里區,0,0,0.0,0.0
1,新北市/平溪區,0,0,0.0,0.0
1,新北市/雙溪區,0,0,0.0,0.0
1,新北市/貢寮區,0,0,0.0,0.0
1,新北市/金山區,1,0,4.73328e-05,0.0
1,新北市/萬里區,1,0,4.60617e-05,0.0
1,新北市/烏來區,0,0,0.0,0.0
1,台北市/松山區,6,0,2.99527e-05,0.0
1,台北市/信義區,13,1,6.03977e-05,4.64598e-06
1,台北市/大安區,11,1,3.63463e-05,3.30421e-06
1,台北市/中山區,7,2,3.12673e-05,8.93352e-06
1,台北市/中正區,6,0,3.86108e-05,0.0
1,台北市/大同區,3,0,2.4223e-05,0.0
1,台北市/萬華區,11,0,6.00804e-05,0.0
1,台北市/文山區,4,0,1.49181e-05,0.0
1,台北市/南港區,6,1,5.05229e-05,8.42049e-06
1,台北市/內湖區,19,2,6.72507e-05,7.07902e-06
1,台北市/士林區,8,2,2.87304e-05,7.18259e-06
1,台北市/北投區,13,0,5.19701e-05,0.0
1,桃園市/桃園區,28,3,6.12363e-05,6.56103e-06
1,桃園市/中壢區,24,2,5.68086e-05,4.73405e-06
1,桃園市/大溪區,2,0,2.09065e-05,0.0
1,桃園市/楊梅區,6,2,3.42579e-05,1.14193e-05
1,桃園市/蘆竹區,8,0,4.7887e-05,0.0
1,桃園市/大園區,3,0,3.19533e-05,0.0
1,桃園市/龜山區,9,0,5.47452e-05,0.0
1,桃園市/八德區,11,1,5.25808e-05,4.78007e-06
1,桃園市/龍潭區,3,1,2.41142e-05,8.03807e-06
1,桃園市/平鎮區,10,2,4.37424e-05,8.74849e-06
1,桃園市/新屋區,3,0,6.08112e-05,0.0
1,桃園市/觀音區,4,0,5.79441e-05,0.0
1,桃園市/復興區,0,0,0.0,0.0
1,台中市/中區,0,0,0.0,0.0
1,台中市/東區,4,0,5.26919e-05,0.0
1,台中市/南區,3,0,2.36651e-05,0.0
1,台中市/西區,3,0,2.61819e-05,0.0
1,台中市/北區,8,0,5.4574e-05,0.0
1,台中市/西屯區,2,1,8.63073e-06,4.31537e-06
1,台中市/南屯區,6,1,3.40789e-05,5.67982e-06
1,台中市/北屯區,7,1,2.4361e-05,3.48015e-06
1,台中市/豐原區,5,1,3.01109e-05,6.02217e-06
1,台中市/東勢區,0,0,0.0,0.0
1,台中市/大甲區,0,1,0.0,1.31354e-05
1,台中市/清水區,2,0,2.27249e-05,0.0
1,台中市/沙鹿區,4,0,4.20053e-05,0.0
1,台中市/梧棲區,5,0,8.43554e-05,0.0
1,台中市/后里區,3,0,5.52049e-05,0.0
1,台中市/神岡區,4,0,6.10417e-05,0.0
1,台中市/潭子區,4,0,3.65935e-05,0.0
1,台中市/大雅區,2,0,2.09002e-05,0.0
