Period,Age,Susceptible Number,Infectious Presymptomatic Number,Recovered Number,scenario
0,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
0,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
0,2,15912458,1,0,graph__test__tract_init_infectors__test_strat__result
0,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
1,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
1,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
1,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
1,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
2,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
2,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
2,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
2,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
3,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
3,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
3,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
3,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
4,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
4,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
4,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
4,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
5,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
5,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
5,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
5,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
6,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
6,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
6,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
6,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
7,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
7,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
7,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
7,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
8,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
8,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
8,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
8,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
9,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
9,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
9,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
9,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
10,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
10,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
10,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
10,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
11,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
11,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
11,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
11,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
12,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
12,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
12,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
12,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
13,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
13,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
13,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
13,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
14,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
14,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
14,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
14,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
15,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
15,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
15,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
15,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
16,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
16,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
16,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
16,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
17,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
17,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
17,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
17,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
18,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
18,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
18,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
18,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
19,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
19,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
19,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
19,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
20,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
20,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
20,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
20,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
21,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
21,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
21,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
21,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
22,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
22,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
22,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
22,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
23,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
23,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
23,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
23,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
24,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
24,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
24,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
24,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
25,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
25,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
25,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
25,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
26,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
26,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
26,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
26,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
27,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
27,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
27,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
27,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
28,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
28,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
28,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
28,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
29,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
29,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
29,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
29,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
30,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
30,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
30,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
30,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
31,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
31,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
31,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
31,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
32,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
32,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
32,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
32,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
33,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
33,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
33,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
33,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
34,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
34,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
34,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
34,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
35,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
35,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
35,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
35,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
36,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
36,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
36,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
36,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
37,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
37,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
37,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
37,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
38,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
38,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
38,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
38,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
39,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
39,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
39,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
39,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
40,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
40,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
40,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
40,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
41,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
41,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
41,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
41,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
42,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
42,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
42,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
42,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
43,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
43,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
43,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
43,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
44,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
44,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
44,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
44,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
45,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
45,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
45,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
45,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
46,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
46,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
46,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
46,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
47,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
47,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
47,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
47,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
48,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
48,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
48,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
48,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
49,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
49,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
49,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
49,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
50,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
50,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
50,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
